Anio, Mes,Cod_EESS,CSMental_Reunion_1,CSMental_Reunion_2,CSMental_Reunion_3,CSMental_Reunion_4,CSMental_Reunion_5,CSMental_Reunion_6,CSMental_Reunion_7,CSMental_Reunion_8,CSMental_Reunion_9,CSMental_Reunion_10 
2022,10,000026273,0,1,0,1,1,0,1,1,1,1
2022,11,000026273,0,0,0,0,0,1,1,0,0,0
2022,12,000026273,0,0,0,0,0,0,0,1,1,0
2022,6,000026273,2,1,0,0,0,0,0,0,0,0
2022,7,000026273,1,1,0,2,0,0,0,0,0,0
2022,8,000026273,0,0,0,0,1,2,0,0,0,0
2022,9,000026273,3,0,1,0,0,0,1,0,0,0
2023,2,000026273,4,0,0,0,0,0,0,0,0,0
2023,3,000026273,2,1,0,0,0,0,0,0,0,0
